references,ss_code,course_subject,sessions,course_number,year_offered,evaluation,start_date,course_title,format,course_objective,textbooks,instructor,compulsory,course_outline,term,room,prerequisites,offered_this_year,notes,other_instructors,day_and_time,credit,open_to,sheetno,sheetname
,cl14,Specialized Courses,"<tr><td><div>1</div></td><td><div></div></td></tr>

<tr><td><div>2</div></td><td><div></div></td></tr>

<tr><td><div>3</div></td><td><div></div></td></tr>

<tr><td><div>4</div></td><td><div></div></td></tr>

<tr><td><div>5</div></td><td><div></div></td></tr>

<tr><td><div>6</div></td><td><div></div></td></tr>

<tr><td><div>7</div></td><td><div></div></td></tr>

<tr><td><div>8</div></td><td><div></div></td></tr>",1111,,"<p>Class participation………10%</p>
<p>Mid-term test...................10%</p>
<p>Short take home essay.....10%</p>
<p>Short final essay..............30%</p>
<p>Final exam.......................40%</p>
<p>TOTAL.............................100%</p>",,Political Systems,,,"Robert Hislope and Anthony Mughan, Introduction to Comparative Politics: The State and its Challenges (Cambridge: Cambridge University Press, 2012)",R Westra,,This class introduces students to the study of politics and political systems. Its first aim is to familiarize students with the basic concepts in the field of political science. The second aim is to build the capacity of students for comparing political systems in the advanced developed democracies.  The third aim of the class is to cultivate critical thinking among students as to the benefits and drawbacks of a particular political model.,Fall,TBA,,,,,Fri 13:00-14:30,2,1,0,Courses
,cl32,Specialized Courses,"<tr><td><div>1</div></td><td><div>

General introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Key concepts, basic theoretical framework

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Legal Ethnography and Early studies

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Social Rules, Legal Rules, Religious Rules

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Legal Sanctions, Social Sanctions

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Dispute Resolution in Context

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Midterm Test

</div></td></tr>

<tr><td><div>8</div></td><td><div>

The State as Educator

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Human Rights, ""Asian Values""

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Different Perspectives on Financial Law

</div></td></tr>

<tr><td><div>11</div></td><td><div>

The State as Educator (II)

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Cultural Defense (I)

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Cultural Defense (II)

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Final exam

</div></td></tr>",1112,,"<p>Student presentations...40%</p>
<p>Student participation...30%</p>
<p>Midterm and final exam..30%</p>
<p>TOTAL...................100%</p>",,Preliminary Seminar A,seminar,"Legal Anthropology is designed to provide students with the knowledge and tools to understand contemporary legal problems in a multi-layered and culturally sensitive way.  The course will begin by a theoretical introduction of the field, teaching basic conceptual notions and providing the students with the elementary methodological tools. Then, based upon a selection of readings, the course intends to help students develop argumentation skills. As students of law and political sciences, students should be able to discuss various topics (human rights, respect of cultures, etc.) under a technical perspective, using legal reasoning and being able to argument objectively.","Due to the peculiar nature of the seminar, there is no need of a general textbook for students. Lessons will be based on readings that will be distributed to students in advance.",Tamura/Colombo,,"This course is aimed to look at legal issues from a cross-cultural, comparative and pluralistic perspective. The course will comprise both a theoretical explanation of the field and its historical evolution, but will largely focus on contemporary and highly debated themes like legal pluralism, dispute resolution and access to justice, human rights, cultural defense. Notions like ""law"", ""justice"", ""sanction"", etc. will be analyzed in context, to show students that the idea of law as merely legal order imposed from the State could be limiting if not misleading. Most of the course will be centered about instructor-administered debates among students.",Fall,TBA,None,,,,Mon 13:00-14:30,2,1,0,Courses
,cl44,TBA,"<tr><td><div>1</div></td><td><div>

ntroduction to Campus ASEAN Project & Joint Education Course /Japanese Economic Development

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Poverty Reduction and International Development

</div></td></tr>

<tr><td><div>3</div></td><td><div>

3. Legal reform and international cooperation

</div></td></tr>

<tr><td><div>4</div></td><td><div>

4. Educational Development and Cooperation in the Global Age

</div></td></tr>

<tr><td><div>5</div></td><td><div>

5. International Cooperation for Agricultural Development

</div></td></tr>

<tr><td><div>6</div></td><td><div>

6. Law and Politics in ASEAN Integration (Introductory)

</div></td></tr>

<tr><td><div>7</div></td><td><div>

International Commercial Arbitration- An ASEAN Perspective

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Asian Family Law

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Current Issues in Japanese Politics

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Japanese Accounting-How to read financial statements of Japanese companies

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Free Trade of Japan and ASEAN

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Japanese Firms and Management in Comparative Perspective

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Presentations  

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Presentations  

</div></td></tr>

<tr><td><div>15</div></td><td><div>

Sum-up

</div></td></tr>",1141,,"<p>Reports...90%</p>
<p>Presentation...10%</p>
<p>(The detail will be announced in the first lecture.)</p>",,Special Problems(Campus Asean Joint Education Course),Lecture,"<p>-to hold an initial interest in each academic field</p>
<p>-to attain to a basic knowledge on each subject</p>
<p>-to gain a strong motivation to expand and deepen the studies in each academic field about ASEAN region and Japan</p>",Unspecified,M Nishimura (GSID),,"This course has been developed by the collaboration among 5 departments (Law, Economics, Agriculture, International Development, etc) for the purpose of fostering new generation leader who can bridge between ASEAN countries and Japan, having a wide spectrum of expertise in Economics, Law, Politics, Diplomacy and International Development and applied skill for cross-cutting policies, and intercultural Knowledge Competence. To fulfill the purpose, professors with expertise in each academic field will give a series of coherent lectures from an elementary stage in order to have students �to hold an initial interest �to attain to a basic knowledge, and �to gain a strong motivation to expand and deepen the studies in each academic field about ASEAN region and Japan.",Fall,GSID Lecture Room 3,,,,,Thu 3,2.0,1-4,0,Courses
Material to be announced.,cl18,LEGAL SYSTEMS,"<tr><td><div>1</div></td><td><div>

Oct 3    Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Oct 10 Theory of the modern state and its corruption

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Oct 17

The state & its corruption

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Oct 24

The nature of corruption

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Oct 31

The nature of corruption

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Nov 7

Country report 1/5

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Nov 14

Country report 2/5

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Nov 21

Country report 3/5

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Nov 28 

Country report 4/5

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Dec 05

Country report 5/5

wrap up:

identifying the issues

Remedy 1

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Dec 12

In-depth study of human behavior

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Dec 19

Remedy 2

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Dec 19

(Evening session)

client session

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Jan 9

Review of

client session

</div></td></tr>

<tr><td><div>15</div></td><td><div>

Jan 16

concluding  lecture

&

discussion

</div></td></tr>",1221,,"<p>1) Participation (oral country report &amp; other class activities) 15%</p>
<p>2) Assignments 60%</p>
<p>2) Final essay 25%</p>",2014-10-03,Special Problems (Good Governance vs. Corruption),,"<p>Better understanding of the social responsibilities of the legal profession,  government officials and the business person.</p>
<p>Better appreciation of the functions of the public sector and the role of public administration and the judiciary.</p>
<p>Based on theoretical understanding of the situation and practical, visceral uptake through role-playing, skill in dealing with difficult moral situations.</p>",,Y Morigiwa,,"This seminar will combine the theory of legal and business ethics with the practicalities of developing nations. Students will wrestle with questions such as how one can be ethical when working in a system that has corruption. The course, on the one hand, will draw upon theory of liberal democracy and the constitutional state. On the other, it will ask students to address scenarios testing their practical knowledge and rectitude. We will have participation from practitioners and experts as necessary. The course will be taught in English. Students will give oral presentation of assigned topics during the course. A short research paper is also required as the final essay. International and Japanese students are invited to attend.",Fall,GSL905,,,,,Fri 13:00-14:30,2,2,0,Courses
,cl30,Specialized Courses,"<tr><td><div>1</div></td><td><div></div></td></tr>

<tr><td><div>2</div></td><td><div></div></td></tr>

<tr><td><div>3</div></td><td><div></div></td></tr>

<tr><td><div>4</div></td><td><div></div></td></tr>

<tr><td><div>5</div></td><td><div></div></td></tr>

<tr><td><div>6</div></td><td><div></div></td></tr>

<tr><td><div>7</div></td><td><div></div></td></tr>

<tr><td><div>8</div></td><td><div></div></td></tr>

<tr><td><div>9</div></td><td><div></div></td></tr>

<tr><td><div>10</div></td><td><div></div></td></tr>

<tr><td><div>11</div></td><td><div></div></td></tr>

<tr><td><div>12</div></td><td><div></div></td></tr>

<tr><td><div>13</div></td><td><div></div></td></tr>

<tr><td><div>14</div></td><td><div></div></td></tr>

<tr><td><div>15</div></td><td><div></div></td></tr>",1222,,"<p>Attendance and participation:   20%</p>
<p>Written assignment:             20%</p>
<p>Student presentation:           30%</p>
<p>Final exam:                     30%</p>",,Contemporary Japanese Law I,,,"Christopher W. Hugues, Japan's Remilitarisation, Adelphi Papers, Issue 403, London, Routledge, 2009.",A Calvo,,"<p>The purpose of the course is to provide an introduction to the contemporary Japanese legal system. This is done by examining a number of areas, namely Article 9 of the Constitution, Criminal Law and Procedure, Nationality, and Family Law. Within each area, some of the most relevant rules and institutions are selected, and they are studied not only in and by themselves, but taking into account their social, economic, and political foundations, as well as by comparing them to similar rules and institutions in other countries. </p>
<p>The course is designed with non-law students in mind, and is therefore accessible to those with no or little previous university-level experience in this field. An effort is made to highlight issues that are relevant for a wide future range of careers, including, but not limited to, business, public service, diplomacy, and national security.</p>
<p>Students are expected to read course materials in advance of the relevant lecture, and to engage in active discussion in the seminars. In addition, they have to complete a written assignment and prepare and deliver an oral presentation. All of these, together with a final exam, will contribute to students' final grades. Students will be provided with a list of possible topics for their research essays and can suggest others, subject to approval. The final exam will consist of two sections, one with multiple-choice questions and another one with essay-type questions.</p>
<p>Lectures and seminars will mainly take place on Wednesdays (fourth period), but some will be held on Wednesdays (first period).</p>
<p>The materials for this course will be provided in electronic format. Students are expected to follow current events in Japan by regularly reading a quality newspaper. They also check their e-mail regularly since the course convenor may send them additional materials.</p>
<p>By the end of the course students will have gained a basic understanding of some key areas of the Japanese legal system, and understood their social, economic, and political foundations. They will have compared them with similar ones in other countries. In addition, they will have gained some exposure to legal thought and techniques, and deepened their understanding of contemporary Japan. This will improve their capability of engaging with the country at all levels, from business and personal to diplomacy. Among other, non-specific skills, students will have had the chance to improve their reading comprehension, public speaking, research capability, and written expression.</p>",Fall,TBA,Students are recommended to read in advance the Japanese Constitution and the Introduction and Chapter 1 of Japan's Remilitarisation.,,,,Wed 14:45-16:15,2,2,0,Courses
"Japanese History, Politics and Society in Simple Japanese for Beginners.",cl13,Specialized Courses,"<tr><td><div>1</div></td><td><div></div></td></tr>

<tr><td><div>2</div></td><td><div></div></td></tr>

<tr><td><div>3</div></td><td><div></div></td></tr>

<tr><td><div>4</div></td><td><div></div></td></tr>

<tr><td><div>5</div></td><td><div></div></td></tr>

<tr><td><div>6</div></td><td><div></div></td></tr>

<tr><td><div>7</div></td><td><div></div></td></tr>

<tr><td><div>8</div></td><td><div></div></td></tr>

<tr><td><div>9</div></td><td><div></div></td></tr>

<tr><td><div>10</div></td><td><div></div></td></tr>

<tr><td><div>11</div></td><td><div></div></td></tr>

<tr><td><div>12</div></td><td><div></div></td></tr>

<tr><td><div>13</div></td><td><div></div></td></tr>

<tr><td><div>14</div></td><td><div></div></td></tr>

<tr><td><div>15</div></td><td><div></div></td></tr>",1223,,"<p>Attendance and Class participation (20%)</p>
<p>Homework, Daily quizzes and final test (50%)</p>
<p>Presentation (30%)</p>",,Japanese for Social Science I,,"The purpose of this course is to extend students' vocabulary and to get basic knowledge of Japanese society. In the class, students are encouraged to participate in the discussion about topics.",,Y Kondo,,"This course is conducted in Japanese in an interactive way. Students will have the opportunity to read articles from the Japanese newspapers and to discuss the issues. In the second half of the course the students will read textbook of Japanese history, to acquire the basic knowledge of it.",Fall,TBA,None,,,,Mon 10:30-12:00,2,2,0,Courses
The handouts are offered in every class.,cl24,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Pluralism

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Critiques of pluralism

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Neo-Corporatism

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Neo-Marxist theory of the state

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Power resource theory and comparative analysis of the welfare state

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Critiques of power resource theory

</div></td></tr>

<tr><td><div>8</div></td><td><div>

New Institutionalisms

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Ideas and discourse in political analysis

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Rethinking politics

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Deliberative Democratic Theory

</div></td></tr>",1224,,Mid-term test: 30% and Final essay: 70%,,Political Science,,The first aim of this course is to familiarize students with theories and approaches in political studies. The second aim is to cultivate student's ability to examine or explain political phenomena theoretically.,"<p>No textbook is used. Instead of it, detailed handouts are offered. </p>
<p>Major reference books are the followings. Others are introduced at classes. </p>
<ul>
<li>
<p>Colin Hay, Michael Lister, and David Marsh (eds.) The States: Theories and Issues, Palgrave Macmillan, 2005.</p>
</li>
<li>
<p>John S. Dryzek and Patrick Dunleavy (eds.) Theories of The Democratic State, Palgrave Macmillan, 2009.<br />
</p>
</li>
<li>
<p>David Marsh and Gerry Stoker (eds.) Theory and Methods in Political Science, 3rd ed., Palgrave Macmillan, 2010.</p>
</li>
</ul>",T Tamura,,"<p>This course examines some theories and approaches in political studies. The reason why this course dealts with theries and approachies is because our understanding of the""reality""of politics always depends on some theoretical standpoint. The ""reality"" seems to be different when we use a different theory.Hence, theory matters. .    <br />
</p>
<p>While many of the examples referred in this course will be ones of advanced democracies including Japan, it is also possible to apply theories examined in this course to developing countries. <br />
</p>
<p>The following topics will be examined in the classes.</p>
<p>1 Introduction</p>
<p>2 Pluralism</p>
<p>3 Critiques of pluralism</p>
<p>4 Neo-Corporatism</p>
<p>5 Neo-Marxist theory of the state</p>
<p>6 Power resource theory and comparative welfare states</p>
<p>7 Critiques of power resource theory</p>
<p>8 New Institutionalisms </p>
<p>9 Ideas and discourse in political analysis</p>
<p>10 Rethinking politics: civil society debates and feminist critique of public/private distinction</p>
<p>11 Deliberatibe Democratic Theory</p>",Fall,TBA,No prerequisties.,,,,Fri 10:30-12:00,2,2,0,Courses
,cl38,UNKNOWN,,1225,,"<p>Attendance and participation:   10%</p>
<p>Student Presentation:                30%</p>
<p>Written assignment:                 15%</p>
<p>Mid-term exam:                         15%</p>
<p>Final exam:                                30%</p>",,Reading Legal Documents,,,Materials for the course will be distributed in electronic format.,Calvo,,"<p>The purpose of the course is to give students the chance to acquaint themselves with some key legal international documents, both public and private. Reading and discussing them should provide students with the opportunity to explore some of the legal foundations of international relations, and of the international financial markets. Students are expected to be active participants in class, since the course is based on active learning, reading, and comprehension, rather than the mere passive study of texts.</p>
<p>The course runs in parallel with Contemporary Japanese Law I, and students taking both should be able to combine the knowledge and skills gained. However, they are designed as independent courses and neither requires students to be following the other.</p>
<p>The first part of the course deals with private law documents. We shall begin with an examination of contracts, including the concept of a contract and an outline of its elements in the English Common Law. This will take us first to the contracts used to charter ships, followed by insurance. Next we will deal with legal documentation in the international financial markets, with a closer look at some derivatives. After some time for review, a mid-term exam will be held on all these topics.</p>
<p>We will then turn our attention to public international law, and some of the kinds of documents often encountered in that arena. We will begin with treaties, and an overview of their nature and place in the sources of International Law. This will be followed by a closer look at UNCLOS and the concept of the Exclusive Economic Zone. We shall next examine the Philippines' arbitration case against China at a seminar, both to learn more about UNCLOS and as an introduction to arbitration. </p>
<p>The course is designed with non-law students in mind, and is therefore accessible to those with no or little previous university-level experience in this field. An effort is made to highlight issues that are relevant for a wide future range of careers, including, but not limited to, business, public service, diplomacy, and national security.</p>
<p>Students are expected to read course materials in advance of the relevant lecture, and to engage in active discussion in class and the seminar. In addition, they have to complete a written assignment and prepare and deliver and oral presentation. All of these, together with a mid-term exam, participation in class, and a final exam, will contribute to students' final grades. Students will be sent some possible presentation topics but are encouraged to suggest one themselves, subject to approval by their course convenor. The mid-term exam will be multiple-choice, while the final exam will consist of a mixture of multiple-choice questions and essay-type questions. </p>
<p>Lectures and seminars will take place on Thursdays (3rd period),  but also sometimes on Wednesdays (1st period).</p>
<p>The materials for this course will be provided in electronic format. Students are expected to follow current events in Japan and worldwide by regularly reading a quality newspaper. In particular, they should make an effort to follow any developments related to the topics included in the syllabus. They should also check their e-mail regularly, since the course convenor may send notices concerning the development of the course, or share relevant news or materials with students.</p>
<p>By the end of the course students will have been exposed to a range of legal materials, from both the private and public spheres. This will have contributed to their understanding of the law and the context in which it operates. It will also provide a foundation for the use of legal documentation in their future careers, be they in the private sector or in public service. Concerning the non-specific skills that students will reinforce, they include reading comprehension, summing up of texts both orally and in writing, public speaking, and written expression.</p>",Fall,TBA,Students are recommended to read UNCLOS in advance.,,,,Thu 13:00-14:30,2,2,0,Courses
"<p>http://www.archives.gov/exhibits/featured_documents/magna_carta/</p>
<p>http://www.historyguide.org/intellect/declaration.html</p>
<p>http://www.usconstitution.net/const.pdf</p>
<p>(US Patriot Act) http://frwebgate.access.gpo.gov/cgi-bin/getdoc.cgi?dbname=107_cong_public_laws&amp;docid=f:publ056.107.pdf</p>
<p>(Japanese government Blue Books) http://www.mofa.go.jp/policy/other/bluebook/index.html</p>",cl25,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Document 1

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Document 2

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Document 3

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Document 4

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Document 5

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Document 6

</div></td></tr>",1226,,"<p>Class participation..........20%</p>
<p>Class presentations..........40%</p>
<p>Final essay..................20%</p>
<p>Final exam...................20%</p>
<p>TOTAL........................100%</p>",,Reading Political Documents,,"The course encourages students to think critically about ideas codified in major political documents. It also asks students to question whether the lofty ideals reflected in the documents, particularly those regarding human freedom, liberty and democratic empowerment, have been increasingly whittled away in the course of the 20th and 21st centuries.",,R Westra,,"This class introduces students to a selection of political documents in the history of Western democracy. It requires students to read sections of the political documents with an eye to interpreting their meaning and significance. Students will also learn about the historical situation existing at the time the documents were promulgated. Finally, students are encouraged to think critically about the documents regarding their implications for the future of democracy.",Fall,TBA,Political Systems,,,,Fri 8:45-10:15,2,2,0,Courses
,cl19,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Hobbes

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Locke

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Hume

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Rousseau

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Kant 1

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Mill

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Marx

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Kant 2 (Evening session 18:15-19:45)

</div></td></tr>",1227,,"<p>Participation : 30%</p>
<p>Oral presentation: 30%</p>
<p>Final Essay: 40％</p>",2014-10-06,Special Problems (Political Theory of Law A),,,"<p>John Rawls - Lectures on the History of Political Philosophy</p>
<p>John Rawls - Lectures on the History of Moral Philosophy</p>",Y Morigiwa,,"<p>This bi-weekly two semester course introduces the student to the world of legal and political theory, especially those of a liberal democracy.</p>
<p>Burning questions students have on political power and public order will be examined and the role of law therein will be explained. </p>
<p>To facilitate the inquiry, theories of law and state by Hobbes, Locke, Rousseau, Kant, Hegel and Marx, </p>
<p>as well as their contemporary counterparts developed by Hart, Dworkin, Raz and Rawls may be </p>
<p>discussed. The course will be taught in English, with summaries in Japanese as necessary. International </p>
<p>and Japanese students are welcome. The day and time of class is subject to change upon discussion with </p>
<p>the participants.</p>",Fall,GSL Lecture room 2,,,,,Mon 16:30-18:00,1,2,0,Courses
